Window,HR_Mean,SpO2_Mean,Flow_Mean,Sleep_Label,Batch_ID
230,64.03333333333333,88.06666666666666,0.5013166666666666,1,14
231,64.46666666666667,87.06666666666666,0.2784566666666667,1,14
232,70.0,91.83333333333333,-0.7436866666666667,1,14
233,61.46666666666667,94.5,-0.3278716666666667,1,14
234,78.2,94.2,-0.2672133333333333,0,15
235,57.2,92.46666666666667,0.5640633333333334,1,16
236,58.43333333333333,87.93333333333334,0.22846000000000002,1,16
237,63.56666666666667,84.5,0.21258166666666664,1,16
238,62.63333333333333,85.06666666666666,0.17286333333333334,1,16
239,62.5,81.3,0.36698333333333333,1,16
240,70.63333333333334,83.6,-0.2961316666666666,1,16
241,61.86666666666667,76.63333333333334,0.804445,1,16
242,69.43333333333334,80.26666666666667,0.26943000000000006,1,16
243,64.8,80.8,0.087745,0,17
244,68.46666666666667,71.26666666666667,-0.408875,1,18
245,69.43333333333334,81.1,-0.06032166666666665,1,18
246,63.666666666666664,81.9,0.15720499999999998,1,18
247,69.96666666666667,74.03333333333333,-0.12067333333333329,1,18
248,72.4,79.83333333333333,0.04257166666666668,0,19
249,64.33333333333333,78.33333333333333,0.5600383333333333,1,20
250,72.86666666666666,74.5,-0.6494866666666667,0,21
251,63.86666666666667,85.86666666666666,0.23534833333333333,1,22
252,64.33333333333333,87.16666666666667,0.13676166666666667,1,22
253,68.53333333333333,73.5,-0.7462516666666666,1,22
254,63.733333333333334,89.56666666666666,0.2147,0,23
255,77.26666666666667,84.03333333333333,-1.075445,0,23
256,74.4,85.36666666666666,-0.6971966666666667,0,23
257,59.46666666666667,94.43333333333334,-0.20233999999999994,1,24
258,63.63333333333333,88.83333333333333,0.15312333333333333,1,24
259,60.766666666666666,89.53333333333333,-0.10861833333333332,1,24
260,58.8,86.2,-0.016406666666666667,1,24
261,63.8,77.3,-0.38013,0,25
262,65.63333333333334,84.06666666666666,0.5501466666666667,1,26
263,63.1,72.6,0.05200833333333332,1,26
264,74.56666666666666,77.3,-0.6683800000000001,0,27
265,64.33333333333333,84.4,0.206505,1,28
266,71.86666666666666,82.53333333333333,-0.70472,0,29
267,63.53333333333333,90.1,-0.10650500000000006,1,30
268,66.06666666666666,87.7,0.166885,1,30
269,57.0,86.2,-0.1003766666666667,1,30
270,62.56666666666667,85.53333333333333,-0.2732483333333333,1,30
271,58.56666666666667,87.6,0.3403333333333334,1,30
272,59.36666666666667,88.8,-0.23376999999999998,1,30
273,59.166666666666664,89.86666666666666,-0.39780499999999996,1,30
274,60.9,88.53333333333333,-0.22256,1,30
275,61.266666666666666,91.9,-0.2984616666666666,1,30
276,60.6,87.9,0.4567616666666667,1,30
277,59.03333333333333,82.63333333333334,-0.13995,1,30
278,68.83333333333333,84.4,-0.31868833333333335,1,30
279,66.0,89.46666666666667,-0.14717166666666665,1,30
280,61.9,90.36666666666666,0.67184,1,30
281,61.53333333333333,81.33333333333333,-0.07360666666666664,1,30
282,61.56666666666667,88.4,0.06066000000000001,1,30
283,61.93333333333333,86.73333333333333,-0.301855,1,30
284,65.7,89.26666666666667,-0.3462383333333333,1,30
285,59.56666666666667,86.46666666666667,0.11218333333333333,1,30
286,61.93333333333333,88.3,-0.17925166666666667,1,30
287,60.43333333333333,90.4,-0.23211666666666667,1,30
288,60.4,91.46666666666667,0.009970000000000008,1,30
289,61.266666666666666,87.56666666666666,-0.19898000000000002,1,30
290,61.2,90.13333333333334,-0.09458666666666665,1,30
291,60.56666666666667,92.0,-0.24783166666666664,1,30
