Sample_Order,Window,HR_Mean,SpO2_Mean,Flow_Mean,Sleep_Label,Batch_ID
44,8,72.33333333333333,94.13333333333334,-0.001225000000000002,1,4
45,250,72.86666666666666,74.5,-0.6494866666666667,0,21
46,897,59.06666666666667,88.76666666666667,0.155955,0,71
47,455,67.8,78.1,-0.40857000000000004,1,40
48,722,54.4,84.13333333333334,0.17364833333333335,1,54
49,80,72.4,95.16666666666667,-0.49317999999999995,0,9
50,358,62.333333333333336,86.06666666666666,0.1461333333333333,1,34
51,12,71.23333333333333,90.1,0.12011833333333335,0,5
52,261,63.8,77.3,-0.38013,0,25
53,713,56.13333333333333,93.5,-0.06433666666666667,1,54
54,256,74.4,85.36666666666666,-0.6971966666666667,0,23
55,251,63.86666666666667,85.86666666666666,0.23534833333333333,1,22
56,202,64.06666666666666,89.53333333333333,0.1696083333333333,1,14
57,362,79.36666666666666,81.9,-0.21332833333333331,0,35
58,460,65.86666666666666,84.9,-0.4124383333333333,1,42
59,11,70.96666666666667,92.03333333333333,0.01744499999999998,0,5
60,850,55.266666666666666,92.8,-0.25986499999999996,1,64
61,633,75.5,71.6,-0.081605,0,49
62,894,54.46666666666667,89.8,-0.07312,1,70
63,857,55.2,95.03333333333333,-0.4071883333333333,1,66
64,903,70.1,86.73333333333333,0.26400833333333334,1,72
65,735,53.0,95.0,0.16912833333333335,1,56
66,442,78.43333333333334,75.5,0.10566666666666666,0,39
67,76,72.83333333333333,92.8,-0.04689499999999995,1,8
68,720,56.166666666666664,84.86666666666666,0.13985666666666668,1,54
69,628,57.233333333333334,72.63333333333334,-0.0839,1,48
70,248,72.4,79.83333333333333,0.04257166666666668,0,19
71,615,61.333333333333336,74.96666666666667,-0.0035116666666666703,1,46
72,904,73.73333333333333,85.22222222222223,0.176375,1,72
73,262,65.63333333333334,84.06666666666666,0.5501466666666667,1,26
74,610,62.63333333333333,86.2,-0.017214999999999994,1,46
75,87,67.06666666666666,84.4,0.118715,1,10
76,15,72.63333333333334,92.3,-0.21164499999999997,1,6
77,247,69.96666666666667,74.03333333333333,-0.12067333333333329,1,18
78,774,72.53333333333333,82.46666666666667,0.10023,0,61
79,482,66.86666666666666,85.93333333333334,-0.309865,1,44
80,252,64.33333333333333,87.16666666666667,0.13676166666666667,1,22
81,875,56.93333333333333,88.43333333333334,0.3028166666666667,1,68
82,143,73.46666666666667,84.5,-0.5331866666666667,0,13
83,740,58.63333333333333,76.16666666666667,0.04177999999999999,1,56
84,264,74.56666666666666,77.3,-0.6683800000000001,0,27
85,737,60.733333333333334,92.43333333333334,0.11472833333333333,1,56
86,259,60.766666666666666,89.53333333333333,-0.10861833333333332,1,24
87,705,54.86666666666667,85.43333333333334,0.03362333333333333,1,52
88,325,63.3,84.73333333333333,0.6530183333333334,1,32
89,534,53.53333333333333,93.03333333333333,-0.035521666666666674,1,44
90,95,67.96666666666667,90.4,0.35380666666666666,1,10
91,318,80.66666666666667,88.43333333333334,-0.86167,0,31
92,910,61.8,95.33333333333333,-0.042805,0,73
93,382,62.96666666666667,90.9,-0.19364,1,36
94,5,74.46666666666667,90.96666666666667,0.14491833333333334,1,2
95,893,59.93333333333333,89.23333333333333,-0.16225666666666666,0,69
96,611,56.766666666666666,86.66666666666667,-0.09562500000000002,1,46
97,858,55.1,92.7,-0.5395633333333334,1,66
98,353,59.86666666666667,86.03333333333333,0.265665,1,34
99,127,70.86666666666666,83.03333333333333,0.1155616666666667,1,12
100,901,59.96666666666667,90.83333333333333,-0.28944166666666665,1,72
101,662,56.333333333333336,80.63333333333334,-0.08654333333333333,1,50
102,257,59.46666666666667,94.43333333333334,-0.20233999999999994,1,24
103,78,83.26666666666667,90.63333333333334,-0.4716666666666666,0,9
104,144,73.63333333333334,82.9,-0.5105766666666667,0,13
105,612,69.26666666666667,83.43333333333334,-0.10548833333333332,1,46
106,851,55.266666666666666,80.33333333333333,-0.02398333333333332,1,64
107,31,78.16666666666667,84.46666666666667,-0.09030666666666663,0,7
108,908,62.8,93.36666666666666,-0.34750166666666676,0,73
109,854,56.2,81.03333333333333,-0.057651666666666664,1,64
110,132,70.23333333333333,82.66666666666667,-0.275845,1,12
111,10,71.7,92.26666666666667,0.42904666666666663,1,4
112,240,70.63333333333334,83.6,-0.2961316666666666,1,16
113,96,74.86666666666666,83.76666666666667,-0.12085833333333332,0,11
114,856,71.36666666666666,78.1,-0.023773333333333327,0,65
115,263,63.1,72.6,0.05200833333333332,1,26
116,1,75.16666666666667,94.66666666666667,-0.08954666666666658,0,1
117,746,54.666666666666664,95.96666666666667,-0.013555000000000003,1,58
118,37,68.73333333333333,86.03333333333333,0.05697333333333332,1,8
119,142,67.46666666666667,84.86666666666666,0.36444,1,12
120,759,69.33333333333333,67.66666666666667,-0.6229316666666667,1,60
121,632,63.6,85.13333333333334,0.020653333333333326,1,48
122,730,73.73333333333333,86.57142857142857,-0.08446833333333333,0,55
123,141,67.83333333333333,78.2,0.32713000000000003,1,12
124,317,69.46666666666667,84.33333333333333,-0.14379499999999998,0,31
125,889,72.2,85.46666666666667,-1.265375,1,68
126,245,69.43333333333334,81.1,-0.06032166666666665,1,18
127,253,68.53333333333333,73.5,-0.7462516666666666,1,22
