Sampled_Row,Randomized_Position,Record_ID,Window,HR_Mean,SpO2_Mean,Flow_Mean,Stage,Sleep_Label,Split
71,355,182,182,1.132484283113444,0.13602542870528797,0.7144362004829329,N2,1,train
72,360,644,644,-1.3886318137962224,-0.23061541912803374,-0.39859624359150136,N1,1,train
73,365,176,176,0.235037803651455,0.4904449149441637,2.2510590268015727,N2,1,train
74,370,248,248,1.882324433716553,-1.4344195361807752,-0.21397718597818122,W,0,train
75,375,795,795,-1.347302041715736,0.24601768305528343,-0.19880374617625984,N2,1,train
76,380,92,92,0.5125377019061494,0.8204216779941553,-0.4876729128068359,N2,1,train
77,385,837,837,-0.1546429045359879,-0.20006201514192534,-2.424969199033367,N1,1,test
78,390,94,94,1.7524308643207387,-0.3650503966669185,-0.9728621366328764,N1,1,train
79,395,329,329,0.7309950686172915,0.4537808301608336,0.17897645367961024,N1,1,train
80,400,100,100,0.49482494244308234,-0.15117656876414928,2.0027233531623283,N2,1,train
81,405,177,177,0.164186765799193,0.514887638133053,1.3095485659851154,N3,1,train
82,410,383,383,-0.4793768280255224,-0.4444892470308056,0.7795015667134725,N2,1,train
83,415,15,15,1.9236542057970396,0.8509750819802637,-1.1162792417236302,N1,1,train
84,420,494,494,-0.20187692977082922,0.4721128725524986,0.6819183062953452,N2,1,train
85,425,697,697,1.4631224597573333,-1.3549806858168882,-1.0410154309634563,W,0,train
86,430,249,249,0.45349517036259585,-1.7094001720557666,1.622689320727693,N1,1,train
87,435,783,783,0.18189952526225756,-0.19395133434470366,-0.7542107986373131,N2,1,train
88,440,759,759,1.339133143515874,-3.6648180271668136,-2.576076546518857,N1,1,train
89,445,534,534,-1.4594828516484843,0.9854100595191485,-0.4911571841687587,N2,1,train
90,450,745,745,2.5967390653935305,-1.8425257179952448,-1.1587175486004273,W,0,test
91,455,450,450,-0.443951309099392,-0.26727950391136646,1.307939530653294,R,1,train
92,460,446,446,0.010676183785958028,-0.20006201514192534,1.4768172536416966,R,1,train
93,465,677,677,-1.565759408426878,-0.09618044158914894,0.050685463822194965,N1,1,train
94,470,125,125,0.8845056506305252,-0.12062316477803828,1.7195567970460024,N2,1,test
95,475,903,903,1.474930966066043,-0.16950861115581434,0.5719774179059848,N1,1,test
96,480,126,126,0.7191865623085792,-0.6461417133391315,0.23699045919128423,N2,1,test
97,485,228,228,0.06381446217515421,0.27657108704139444,0.7328454576617165,N2,1,train
98,490,274,274,-0.1546429045359879,0.16046815189417468,-1.1550203166798811,N2,1,train
