feature,lr_coef,lr_odds_ratio,rf_impurity,rf_permutation,xgb_gain
flow_min,-0.24329866171889974,0.7840373168677351,0.008953071386371983,0.0003333668046673714,0.0076767085
pulse_std_ctx1,-0.0495592578654332,0.95164876379119,0.014072552177345207,0.0008955889673405807,0.007597363
sound_mean,0.22127401893330695,1.2476652676327724,0.0056502548846781,0.00020554731327659947,0.0075651435
pulse_mean_ctx2,0.35921549424227295,1.4322054003373608,0.009743000539961067,0.00032026930715715424,0.007545572
abdo_max,0.07853275999817456,1.0816987910322537,0.008169779304620695,0.0004598329305544417,0.007348984
pulse_iqr,0.06340568234433391,1.065458989468157,0.00965347493117653,0.0007710489473639429,0.0073476154
flow_rel_amp_ctx1,0.18323221953561256,1.201093293025045,0.011672329929521387,0.0007020398313867618,0.0071465033
flow_std,-0.7547538909253136,0.47012630284338536,0.00807676421317632,0.00028016923219849793,0.0071356203
ribcage_range,0.18194638671945762,1.1995498803515943,0.006651694012369851,0.00021369059649756217,0.0070205578
ribcage_std,-0.8532189219211015,0.42604132860187716,0.006956906564145891,0.0002857568026004194,0.006951109
sound_std,-0.08667261786682573,0.9169772484658092,0.005817644327366671,0.00019609274050998624,0.0068226904
effort_sum,-0.6357783813621927,0.5295231569066589,0.007719455031828016,0.0002651171293660178,0.0065392163
pulse_mean,-0.11358493914603023,0.8926283740992711,0.008865458293726565,0.00028234685125679465,0.006446355
spo2_desat,-0.24174459153123976,0.7852567131561845,0.03478823518993724,0.0012162507517511727,0.006356796
abdo_rel_amp,-0.05177565383130278,0.9495418690292183,0.006697811637836362,0.0002587875130140767,0.0061901356
spo2_rel_amp,0.2129343712751364,1.2373034459315035,0.006959608367606573,0.0003356272760678773,0.006137653
ribcage_max,0.07649590914173458,1.0794977742557403,0.0068011173026821066,0.0002610369438812432,0.0059420136
sum_std,1.8391007364968168,6.290878559135199,0.008216690318659148,0.0003273929357921294,0.0058037383
abdo_std,-0.18612907768512793,0.8301664321045864,0.007733313700875386,0.00031116961343913285,0.005614338
sum_mean,-0.08214627237701423,0.92113721191218,0.006141828000490424,0.00025065941520707735,0.0055204807
abdo_mean,0.12419089351051067,1.1322319861095738,0.006297184858811374,0.00028486971322572163,0.00545193
ribcage_mean,0.027341598435313072,1.0277188099457433,0.006605864928911884,0.0002777145124930695,0.005315164
flow_mean,0.07415425102065543,1.0769729168561104,0.0063115407366008455,0.00041734308679678794,0.0049782265
spo2_below90,0.33576507014946305,1.3990103169161412,0.009136262736593273,0.0003059363684495923,0.0034249015
spo2_below92,0.27796889569854555,1.3204451250471148,0.00621926996026738,0.00018931109484861727,0.0
