Threshold,Accuracy,Balanced_Accuracy,Precision,Sensitivity_Recall,Specificity,FPR,F1,TN,FP,FN,TP
0.42999999999999994,0.6056701030927835,0.580437516702559,0.6924281984334204,0.676185619581846,0.4846894138232721,0.5153105861767279,0.6842105263157895,554,589,635,1326
0.43999999999999995,0.6066365979381443,0.5837570596893135,0.6957671957671958,0.6705762366139725,0.4969378827646544,0.5030621172353456,0.6829394962347443,568,575,646,1315
0.4499999999999999,0.6059922680412371,0.585801742910642,0.6983870967741935,0.6624171341152473,0.5091863517060368,0.49081364829396323,0.6799267207537294,582,561,662,1299
0.4599999999999999,0.6063144329896907,0.5882463952587262,0.7011431682090364,0.6568077511473738,0.5196850393700787,0.48031496062992124,0.6782517114270669,594,549,673,1288
0.4699999999999999,0.6063144329896907,0.5906185490199753,0.7040309221424628,0.6501784803671596,0.531058617672791,0.4689413823272091,0.676033934252386,607,536,686,1275
0.4799999999999999,0.6105025773195877,0.597035231636331,0.7100558659217877,0.6481387047424784,0.5459317585301837,0.4540682414698163,0.6776859504132231,624,519,690,1271
0.48999999999999994,0.6114690721649485,0.5998073545243356,0.7131564088085828,0.6440591534931157,0.5555555555555556,0.4444444444444444,0.6768488745980707,635,508,698,1263
0.49999999999999994,0.6114690721649485,0.6025444550180845,0.7168294083859851,0.6364099949005609,0.5686789151356081,0.43132108486439197,0.6742301458670988,650,493,713,1248
0.5099999999999999,0.6105025773195877,0.6037867461875781,0.7191142191142191,0.6292707802141765,0.5783027121609798,0.4216972878390201,0.6711993472939897,661,482,727,1234
0.5199999999999999,0.6092139175257731,0.6051390121364866,0.7218268090154211,0.620601733809281,0.5896762904636921,0.410323709536308,0.6673978612558267,674,469,744,1217
0.5299999999999999,0.6063144329896907,0.6037566313899697,0.7216556688662268,0.6134625191228965,0.5940507436570429,0.40594925634295714,0.663175303197354,679,464,758,1203
0.5399999999999999,0.6059922680412371,0.6056913398318835,0.7247259439707674,0.6068332483426823,0.6045494313210849,0.39545056867891515,0.6605606439078545,691,452,771,1190
0.5499999999999999,0.6037371134020618,0.6055487964565367,0.7260358688930117,0.5986741458439572,0.6124234470691163,0.38757655293088367,0.6562325321408609,700,443,787,1174
0.5599999999999999,0.6024484536082474,0.6059886955741955,0.7276142767689417,0.5925548189699134,0.6194225721784777,0.3805774278215223,0.6531759415401911,708,435,799,1162
0.57,0.6001932989690721,0.6052987321000989,0.7281368821292775,0.5859255481896991,0.6246719160104987,0.3753280839895013,0.6493359706131676,714,429,812,1149
0.58,0.5950386597938144,0.602131547681986,0.7268041237113402,0.5752167261601224,0.6290463692038495,0.37095363079615046,0.6421861656703672,719,424,833,1128
0.59,0.5979381443298969,0.6073458691197511,0.7331589274035317,0.5716471188169301,0.6430446194225722,0.3569553805774278,0.642406876790831,735,408,840,1121
0.6,0.5966494845360825,0.6085156617024096,0.7361758827448368,0.563488016318205,0.6535433070866141,0.3464566929133858,0.6383593298671288,747,396,856,1105
0.61,0.5963273195876289,0.6100854234118236,0.7391891891891892,0.5578786333503315,0.6622922134733158,0.33770778652668415,0.6358616681197327,757,386,867,1094
0.62,0.5950386597938144,0.6105253225294824,0.7410958904109589,0.5517593064762876,0.6692913385826772,0.33070866141732286,0.6325635779011984,765,378,879,1082
0.63,0.595360824742268,0.6127875015113167,0.7449617790132036,0.5466598674145844,0.678915135608049,0.321084864391951,0.6305882352941177,776,367,889,1072
0.6399999999999999,0.5947164948453608,0.6142847646338956,0.7484098939929329,0.5400305966343703,0.6885389326334208,0.3114610673665792,0.6273696682464455,787,356,902,1059
0.6499999999999999,0.5940721649484536,0.6159645011227243,0.7523398128149748,0.5328913819479857,0.6990376202974629,0.3009623797025372,0.6238805970149254,799,344,916,1045
0.6599999999999999,0.5914948453608248,0.6161144058930421,0.7553426676492262,0.5226925038245793,0.7095363079615048,0.2904636920384952,0.617842073538276,811,332,936,1025
0.6699999999999999,0.5905283505154639,0.6179041171612855,0.7601809954751131,0.5140234574196838,0.7217847769028871,0.2782152230971129,0.6133252205658656,825,318,953,1008
0.6799999999999999,0.5876288659793815,0.6179815233447681,0.7637490317583269,0.5028046914839368,0.7331583552055994,0.2668416447944007,0.6063960639606396,838,305,975,986
0.69,0.5853737113402062,0.6185688734344209,0.7678855325914149,0.49260581336053033,0.7445319335083115,0.2554680664916885,0.6001863932898416,851,292,995,966
0.7,0.584729381443299,0.6198836631907498,0.7718446601941747,0.4864864864864865,0.7532808398950132,0.24671916010498687,0.5968095089146075,861,282,1007,954
0.71,0.5834407216494846,0.6205060356746585,0.7751235584843492,0.4798572157062723,0.7611548556430446,0.2388451443569554,0.592755905511811,870,273,1020,941
0.72,0.5815077319587629,0.6204359908861469,0.7776845637583892,0.4727180010198878,0.7681539807524059,0.23184601924759404,0.588011417697431,878,265,1034,927
0.73,0.5811855670103093,0.6221882259618109,0.7827202737382378,0.46659867414584394,0.7777777777777778,0.2222222222222222,0.5846645367412141,889,254,1046,915
0.74,0.5811855670103093,0.6247428530893098,0.78965819456617,0.4594594594594595,0.7900262467191601,0.2099737532808399,0.5809155383623469,903,240,1060,901
0.7499999999999999,0.5786082474226805,0.6241628643946279,0.7923008057296329,0.45130035696073434,0.7970253718285214,0.20297462817147857,0.5750487329434698,911,232,1076,885
0.7599999999999999,0.5769974226804123,0.6256251051229509,0.7994454713493531,0.4411014788373279,0.8101487314085739,0.18985126859142606,0.568517909957279,926,217,1096,865
