Model,FPR,TPR_Sensitivity,Threshold,ROC_AUC
Random Forest,0.0,0.9826619071902091,0.628,1.0
Random Forest,0.0,0.9852116267210607,0.626,1.0
Random Forest,0.0,0.9867414584395716,0.624,1.0
Random Forest,0.0,0.9877613462519123,0.622,1.0
Random Forest,0.0,0.9898011218765935,0.62,1.0
Random Forest,0.0,0.9928607853136155,0.618,1.0
Random Forest,0.0,0.9943906170321265,0.616,1.0
Random Forest,0.0,0.9954105048444671,0.614,1.0
Random Forest,0.0,0.9969403365629781,0.612,1.0
Random Forest,0.0,0.9979602243753187,0.608,1.0
Random Forest,0.0,0.9994900560938297,0.606,1.0
Random Forest,0.0,1.0,0.604,1.0
Random Forest,0.0026246719160104987,1.0,0.254,1.0
Random Forest,0.004374453193350831,1.0,0.248,1.0
Random Forest,0.006124234470691163,1.0,0.232,1.0
Random Forest,0.007874015748031496,1.0,0.23,1.0
Random Forest,0.008748906386701663,1.0,0.224,1.0
Random Forest,0.010498687664041995,1.0,0.22,1.0
Random Forest,0.011373578302712161,1.0,0.2,1.0
Random Forest,0.013123359580052493,1.0,0.198,1.0
Random Forest,0.015748031496062992,1.0,0.192,1.0
Random Forest,0.016622922134733157,1.0,0.19,1.0
Random Forest,0.01837270341207349,1.0,0.186,1.0
Random Forest,0.019247594050743656,1.0,0.184,1.0
Random Forest,0.02099737532808399,1.0,0.182,1.0
Random Forest,0.022747156605424323,1.0,0.174,1.0
Random Forest,0.02799650043744532,1.0,0.168,1.0
Random Forest,0.028871391076115485,1.0,0.166,1.0
Random Forest,0.03587051618547681,1.0,0.158,1.0
Random Forest,0.03762029746281715,1.0,0.152,1.0
Random Forest,0.03937007874015748,1.0,0.148,1.0
Random Forest,0.04024496937882765,1.0,0.146,1.0
Random Forest,0.045494313210848646,1.0,0.138,1.0
Random Forest,0.049868766404199474,1.0,0.136,1.0
Random Forest,0.0568678915135608,1.0,0.134,1.0
Random Forest,0.06036745406824147,1.0,0.132,1.0
Random Forest,0.06561679790026247,1.0,0.13,1.0
Random Forest,0.06911636045494313,1.0,0.128,1.0
Random Forest,0.0699912510936133,1.0,0.126,1.0
Random Forest,0.07174103237095363,1.0,0.124,1.0
Random Forest,0.07611548556430446,1.0,0.122,1.0
Random Forest,0.08223972003499562,1.0,0.12,1.0
Random Forest,0.09011373578302712,1.0,0.118,1.0
Random Forest,0.09711286089238845,1.0,0.116,1.0
Random Forest,0.10586176727909011,1.0,0.114,1.0
Random Forest,0.1111111111111111,1.0,0.112,1.0
Random Forest,0.1216097987751531,1.0,0.11,1.0
Random Forest,0.1347331583552056,1.0,0.108,1.0
Random Forest,0.14610673665791776,1.0,0.106,1.0
