Model,Threshold,Sensitivity,Specificity,False_Positive_Rate,False_Negative_Rate,Precision,F1,Balanced_Accuracy,TN,FP,FN,TP
Logistic Regression,0.88,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.89,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.9,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.91,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.92,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.93,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.9400000000000001,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.9500000000000001,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.9600000000000001,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.97,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Logistic Regression,0.99,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.01,1.0,0.049868766404199474,0.9501312335958005,0.0,0.6435838529701345,0.78314696485623,0.5249343832020997,57,1086,0,1961
Random Forest,0.02,1.0,0.12773403324584426,0.8722659667541557,0.0,0.662947937795808,0.7973165277495425,0.5638670166229222,146,997,0,1961
Random Forest,0.03,1.0,0.21872265966754156,0.7812773403324584,0.0,0.6871058163980378,0.8145379023883697,0.6093613298337708,250,893,0,1961
Random Forest,0.04,1.0,0.30621172353455817,0.6937882764654418,0.0,0.7120551924473493,0.831813361611877,0.6531058617672791,350,793,0,1961
Random Forest,0.05,1.0,0.38232720909886264,0.6176727909011374,0.0,0.7352830896137983,0.8474503025064822,0.6911636045494314,437,706,0,1961
Random Forest,0.060000000000000005,1.0,0.4663167104111986,0.5336832895888014,0.0,0.7627382341501361,0.8654015887025596,0.7331583552055994,533,610,0,1961
Random Forest,0.06999999999999999,1.0,0.5301837270341208,0.46981627296587924,0.0,0.7850280224179343,0.8795694101816551,0.7650918635170604,606,537,0,1961
Random Forest,0.08,1.0,0.6246719160104987,0.3753280839895013,0.0,0.8205020920502092,0.9014019765571133,0.8123359580052494,714,429,0,1961
Random Forest,0.09,1.0,0.7217847769028871,0.2782152230971129,0.0,0.8604651162790697,0.925,0.8608923884514436,825,318,0,1961
Random Forest,0.09999999999999999,1.0,0.8083989501312336,0.19160104986876642,0.0,0.8995412844036698,0.9471142236174837,0.9041994750656168,924,219,0,1961
Random Forest,0.11,1.0,0.8783902012248469,0.1216097987751531,0.0,0.9338095238095238,0.9657719773454814,0.9391951006124235,1004,139,0,1961
Random Forest,0.12,1.0,0.9177602799650044,0.08223972003499562,0.0,0.9542579075425791,0.976593625498008,0.9588801399825022,1049,94,0,1961
Random Forest,0.13,1.0,0.9343832020997376,0.06561679790026247,0.0,0.9631630648330058,0.9812359269452089,0.9671916010498688,1068,75,0,1961
